transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_frequency,average_transaction_amount,account_age_days,merchant_category,location,fraud_status
1,15706268,2024-01-01 00:00:00,Payment,600.86,40,307.77,1752,Travel,Chennai,Normal
2,15807663,2024-01-01 01:00:00,Withdrawal,2607.46,33,2629.24,449,Online,Chennai,Normal
3,15573851,2024-01-01 02:00:00,Withdrawal,3318.65,25,9043.6,2863,Travel,Mumbai,Normal
4,15681075,2024-01-01 03:00:00,Transfer,3891.64,36,833.87,162,Food,Chennai,Normal
5,15596647,2024-01-01 04:00:00,Payment,8528.66,24,1609.01,2091,Bills,Mumbai,Normal
6,15624471,2024-01-01 05:00:00,Deposit,941.77,31,2017.53,1097,Online,Hyderabad,Normal
7,15663252,2024-01-01 06:00:00,Payment,8246.91,39,3529.69,1430,Bills,Chennai,Normal
8,15749557,2024-01-01 07:00:00,Payment,5902.56,46,10065.8,2372,Retail,Chennai,Normal
9,15726313,2024-01-01 08:00:00,Deposit,4058.2,13,2007.06,1449,Food,Hyderabad,Normal
10,15584899,2024-01-01 09:00:00,Payment,6012.0,10,286.64,2522,Food,Chennai,Normal
11,15713826,2024-01-01 10:00:00,Deposit,2655.29,23,1710.54,1874,Bills,Bangalore,Normal
12,15685329,2024-01-01 11:00:00,Deposit,744.81,18,843.31,2489,Food,Mumbai,Normal
13,15704681,2024-01-01 12:00:00,Payment,5479.56,32,4219.62,659,Bills,Delhi,Normal
14,15718153,2024-01-01 13:00:00,Payment,3718.75,33,118.8,350,Retail,Bangalore,Normal
15,15584338,2024-01-01 14:00:00,Withdrawal,5099.58,36,1380.85,1184,Retail,Delhi,Normal
16,15572728,2024-01-01 15:00:00,Withdrawal,2062.44,28,3151.36,1864,Bills,Bangalore,Normal
17,15718039,2024-01-01 16:00:00,Transfer,11868.61,16,1299.23,2895,Travel,Bangalore,Normal
18,15755649,2024-01-01 17:00:00,Transfer,4426.02,16,3202.89,1252,Travel,Bangalore,Normal
19,15733261,2024-01-01 18:00:00,Payment,446.36,18,487.37,934,Retail,Mumbai,Normal
20,15765982,2024-01-01 19:00:00,Deposit,2987.4,8,11445.19,65,Online,Delhi,Normal
21,15602812,2024-01-01 20:00:00,Transfer,7060.24,42,1375.07,2868,Travel,Hyderabad,Normal
22,15785920,2024-01-01 21:00:00,Payment,7902.66,16,10255.84,2663,Bills,Hyderabad,Normal
23,15793425,2024-01-01 22:00:00,Transfer,3412.0,11,1577.12,2383,Retail,Chennai,Normal
24,15727021,2024-01-01 23:00:00,Deposit,11256.97,6,6090.11,1620,Food,Mumbai,Normal
25,15627395,2024-01-02 00:00:00,Payment,1557.61,1,1130.45,2970,Food,Mumbai,Normal
26,15814536,2024-01-02 01:00:00,Deposit,2643.24,12,4431.85,41,Travel,Mumbai,Normal
27,15599829,2024-01-02 02:00:00,Payment,11443.26,38,1564.57,2160,Online,Bangalore,Normal
28,15645353,2024-01-02 03:00:00,Transfer,11329.18,28,2846.54,1461,Travel,Mumbai,Normal
29,15682355,2024-01-02 04:00:00,Withdrawal,5787.24,45,4481.15,2016,Online,Hyderabad,Normal
30,15587421,2024-01-02 05:00:00,Transfer,9794.29,17,3555.5,1797,Travel,Mumbai,Normal
31,15708505,2024-01-02 06:00:00,Transfer,464.82,1,3434.74,1464,Food,Bangalore,Normal
32,15789863,2024-01-02 07:00:00,Withdrawal,10012.22,32,271.75,986,Online,Delhi,Normal
33,15805909,2024-01-02 08:00:00,Withdrawal,1932.87,8,1145.81,742,Food,Mumbai,Normal
34,15806880,2024-01-02 09:00:00,Payment,982.09,40,3393.03,2072,Bills,Delhi,Normal
35,15722473,2024-01-02 10:00:00,Payment,1368.04,43,73.95,1309,Bills,Chennai,Normal
36,15781586,2024-01-02 11:00:00,Deposit,2706.15,46,1154.17,270,Retail,Bangalore,Normal
37,15597131,2024-01-02 12:00:00,Deposit,1446.36,24,1041.23,2975,Food,Mumbai,Normal
38,15651823,2024-01-02 13:00:00,Transfer,1932.49,10,1149.96,1985,Food,Chennai,Normal
39,15719579,2024-01-02 14:00:00,Withdrawal,725.0,47,3068.12,2042,Retail,Chennai,Normal
40,15731148,2024-01-02 15:00:00,Deposit,1756.14,39,3488.72,925,Bills,Delhi,Normal
41,15763327,2024-01-02 16:00:00,Transfer,4246.48,39,9587.49,2984,Bills,Hyderabad,Normal
42,15766137,2024-01-02 17:00:00,Withdrawal,2915.67,10,1951.24,1505,Online,Hyderabad,Normal
43,15658233,2024-01-02 18:00:00,Payment,2128.74,36,10446.18,2833,Online,Hyderabad,Normal
44,15632275,2024-01-02 19:00:00,Transfer,6861.01,25,4221.69,1054,Bills,Hyderabad,Normal
45,15588446,2024-01-02 20:00:00,Payment,11198.52,10,9751.81,630,Travel,Bangalore,Normal
46,15753591,2024-01-02 21:00:00,Deposit,7069.13,19,7170.37,2359,Food,Mumbai,Normal
47,15655360,2024-01-02 22:00:00,Deposit,2017.34,46,4653.66,2728,Online,Mumbai,Normal
48,15691457,2024-01-02 23:00:00,Withdrawal,6821.53,45,1760.88,628,Travel,Bangalore,Normal
49,15783882,2024-01-03 00:00:00,Transfer,824.26,15,1103.6,1914,Online,Delhi,Normal
50,15756538,2024-01-03 01:00:00,Payment,698.14,16,1006.13,1172,Retail,Mumbai,Normal
51,15651336,2024-01-03 02:00:00,Withdrawal,2120.39,2,12160.73,1041,Food,Chennai,Normal
52,15752137,2024-01-03 03:00:00,Deposit,8243.55,29,12735.37,2977,Online,Mumbai,Normal
53,15608845,2024-01-03 04:00:00,Deposit,1414.12,4,5161.48,1558,Bills,Bangalore,Normal
54,15724161,2024-01-03 05:00:00,Transfer,326.71,29,8609.63,1133,Retail,Delhi,Normal
55,15692002,2024-01-03 06:00:00,Payment,706.14,31,10053.04,1676,Retail,Mumbai,Normal
56,15671915,2024-01-03 07:00:00,Transfer,9785.94,17,2866.12,1730,Bills,Bangalore,Normal
57,15721504,2024-01-03 08:00:00,Payment,5022.65,10,3966.86,2971,Retail,Chennai,Normal
58,15614420,2024-01-03 09:00:00,Payment,1459.8,27,2170.33,986,Food,Hyderabad,Normal
59,15717164,2024-01-03 10:00:00,Transfer,4051.73,41,2168.51,248,Online,Chennai,Normal
60,15677804,2024-01-03 11:00:00,Withdrawal,3749.43,15,156.75,756,Retail,Chennai,Normal
61,15605827,2024-01-03 12:00:00,Transfer,5327.38,44,2275.38,1760,Food,Delhi,Normal
62,15693690,2024-01-03 13:00:00,Transfer,1327.57,31,4477.18,1519,Bills,Mumbai,Normal
63,15693088,2024-01-03 14:00:00,Deposit,9990.34,21,2192.6,1847,Online,Hyderabad,Normal
